Gen:0 
0.9610525861480618:[0.20778193523537017, 0.5291579299237245, 0.22411272098896717]
1.1933683612486992:[0.2419938371805101, 0.7432461178472666, 0.2081284062209225]
0.9974467019784523:[0.16654744545629627, 0.5291579299237245, 0.3017413265984315]
0.9140779734513695:[0.21853935675571573, 0.45500957243139756, 0.24052904426425628]
0.865638448087179:[0.1684733265468952, 0.4706597380496551, 0.22650538349062874]
0.9044996233580629:[0.19583459432690456, 0.45500957243139756, 0.25365545659976074]

Gen:37 
1.2394628277168203:[0.15869948001210554, 0.7274136202023885, 0.3533497275023262]
0.9610525861480618:[0.20778193523537017, 0.5291579299237245, 0.22411272098896717]
1.1933683612486992:[0.2419938371805101, 0.7432461178472666, 0.2081284062209225]
0.9974467019784523:[0.16654744545629627, 0.5291579299237245, 0.3017413265984315]
0.9140779734513695:[0.21853935675571573, 0.45500957243139756, 0.24052904426425628]
0.865638448087179:[0.1684733265468952, 0.4706597380496551, 0.22650538349062874]
0.9044996233580629:[0.19583459432690456, 0.45500957243139756, 0.25365545659976074]

Gen:38 
1.2394628277168203:[0.15869948001210554, 0.7274136202023885, 0.3533497275023262]
0.9610525861480618:[0.20778193523537017, 0.5291579299237245, 0.22411272098896717]
1.1933683612486992:[0.2419938371805101, 0.7432461178472666, 0.2081284062209225]
0.9974467019784523:[0.16654744545629627, 0.5291579299237245, 0.3017413265984315]
0.9140779734513695:[0.21853935675571573, 0.45500957243139756, 0.24052904426425628]
0.865638448087179:[0.1684733265468952, 0.4706597380496551, 0.22650538349062874]
0.9044996233580629:[0.19583459432690456, 0.45500957243139756, 0.25365545659976074]

Gen:39 
1.2394628277168203:[0.15869948001210554, 0.7274136202023885, 0.3533497275023262]
0.9610525861480618:[0.20778193523537017, 0.5291579299237245, 0.22411272098896717]
1.1933683612486992:[0.2419938371805101, 0.7432461178472666, 0.2081284062209225]
0.9974467019784523:[0.16654744545629627, 0.5291579299237245, 0.3017413265984315]
0.9140779734513695:[0.21853935675571573, 0.45500957243139756, 0.24052904426425628]
